"POLY_ID","省代码","省","市代码","市","类型"
1,110000,"北京市",110000,"北京市","直辖市"
2,120000,"天津市",120000,"天津市","直辖市"
3,130000,"河北省",130100,"石家庄市","地级市"
4,130000,"河北省",130200,"唐山市","地级市"
5,130000,"河北省",130300,"秦皇岛市","地级市"
6,130000,"河北省",130400,"邯郸市","地级市"
7,130000,"河北省",130500,"邢台市","地级市"
8,130000,"河北省",130600,"保定市","地级市"
9,130000,"河北省",130700,"张家口市","地级市"
10,130000,"河北省",130800,"承德市","地级市"
11,130000,"河北省",130900,"沧州市","地级市"
12,130000,"河北省",131000,"廊坊市","地级市"
13,130000,"河北省",131100,"衡水市","地级市"
14,140000,"山西省",140100,"太原市","地级市"
15,140000,"山西省",140200,"大同市","地级市"
16,140000,"山西省",140300,"阳泉市","地级市"
17,140000,"山西省",140400,"长治市","地级市"
18,140000,"山西省",140500,"晋城市","地级市"
19,140000,"山西省",140600,"朔州市","地级市"
20,140000,"山西省",140700,"晋中市","地级市"
21,140000,"山西省",140800,"运城市","地级市"
22,140000,"山西省",140900,"忻州市","地级市"
23,140000,"山西省",141000,"临汾市","地级市"
24,140000,"山西省",141100,"吕梁市","地级市"
25,150000,"内蒙古自治区",150100,"呼和浩特市","地级市"
26,150000,"内蒙古自治区",150200,"包头市","地级市"
27,150000,"内蒙古自治区",150300,"乌海市","地级市"
28,150000,"内蒙古自治区",150400,"赤峰市","地级市"
29,150000,"内蒙古自治区",150500,"通辽市","地级市"
30,150000,"内蒙古自治区",150600,"鄂尔多斯市","地级市"
31,150000,"内蒙古自治区",150700,"呼伦贝尔市","地级市"
32,150000,"内蒙古自治区",150800,"巴彦淖尔市","地级市"
33,150000,"内蒙古自治区",150900,"乌兰察布市","地级市"
34,150000,"内蒙古自治区",152200,"兴安盟","盟"
35,150000,"内蒙古自治区",152500,"锡林郭勒盟","盟"
36,150000,"内蒙古自治区",152900,"阿拉善盟","盟"
37,150000,"中朝共有",156400,"中朝共有","不统计"
38,210000,"辽宁省",210100,"沈阳市","副省级市"
39,210000,"辽宁省",210200,"大连市","副省级市"
40,210000,"辽宁省",210300,"鞍山市","地级市"
41,210000,"辽宁省",210400,"抚顺市","地级市"
42,210000,"辽宁省",210500,"本溪市","地级市"
43,210000,"辽宁省",210600,"丹东市","地级市"
44,210000,"辽宁省",210700,"锦州市","地级市"
45,210000,"辽宁省",210800,"营口市","地级市"
46,210000,"辽宁省",210900,"阜新市","地级市"
47,210000,"辽宁省",211000,"辽阳市","地级市"
48,210000,"辽宁省",211100,"盘锦市","地级市"
49,210000,"辽宁省",211200,"铁岭市","地级市"
50,210000,"辽宁省",211300,"朝阳市","地级市"
51,210000,"辽宁省",211400,"葫芦岛市","地级市"
52,220000,"吉林省",220100,"长春市","副省级市"
53,220000,"吉林省",220200,"吉林市","地级市"
54,220000,"吉林省",220300,"四平市","地级市"
55,220000,"吉林省",220400,"辽源市","地级市"
56,220000,"吉林省",220500,"通化市","地级市"
57,220000,"吉林省",220600,"白山市","地级市"
58,220000,"吉林省",220700,"松原市","地级市"
59,220000,"吉林省",220800,"白城市","地级市"
60,220000,"吉林省",222400,"延边朝鲜族自治州","自治州"
61,230000,"黑龙江省",230100,"哈尔滨市","副省级市"
62,230000,"黑龙江省",230200,"齐齐哈尔市","地级市"
63,230000,"黑龙江省",230300,"鸡西市","地级市"
64,230000,"黑龙江省",230400,"鹤岗市","地级市"
65,230000,"黑龙江省",230500,"双鸭山市","地级市"
66,230000,"黑龙江省",230600,"大庆市","地级市"
67,230000,"黑龙江省",230700,"伊春市","地级市"
68,230000,"黑龙江省",230800,"佳木斯市","地级市"
69,230000,"黑龙江省",230900,"七台河市","地级市"
70,230000,"黑龙江省",231000,"牡丹江市","地级市"
71,230000,"黑龙江省",231100,"黑河市","地级市"
72,230000,"黑龙江省",231200,"绥化市","地级市"
73,230000,"黑龙江省",232700,"大兴安岭地区","地区"
74,310000,"上海市",310000,"上海市","直辖市"
75,320000,"江苏省",320100,"南京市","副省级市"
76,320000,"江苏省",320200,"无锡市","地级市"
77,320000,"江苏省",320300,"徐州市","地级市"
78,320000,"江苏省",320400,"常州市","地级市"
79,320000,"江苏省",320500,"苏州市","地级市"
80,320000,"江苏省",320600,"南通市","地级市"
81,320000,"江苏省",320700,"连云港市","地级市"
82,320000,"江苏省",320800,"淮安市","地级市"
83,320000,"江苏省",320900,"盐城市","地级市"
84,320000,"江苏省",321000,"扬州市","地级市"
85,320000,"江苏省",321100,"镇江市","地级市"
86,320000,"江苏省",321200,"泰州市","地级市"
87,320000,"江苏省",321300,"宿迁市","地级市"
88,330000,"浙江省",330100,"杭州市","副省级市"
89,330000,"浙江省",330200,"宁波市","副省级市"
90,330000,"浙江省",330300,"温州市","地级市"
91,330000,"浙江省",330400,"嘉兴市","地级市"
92,330000,"浙江省",330500,"湖州市","地级市"
93,330000,"浙江省",330600,"绍兴市","地级市"
94,330000,"浙江省",330700,"金华市","地级市"
95,330000,"浙江省",330800,"衢州市","地级市"
96,330000,"浙江省",330900,"舟山市","地级市"
97,330000,"浙江省",331000,"台州市","地级市"
98,330000,"浙江省",331100,"丽水市","地级市"
99,340000,"安徽省",340100,"合肥市","地级市"
100,340000,"安徽省",340200,"芜湖市","地级市"
101,340000,"安徽省",340300,"蚌埠市","地级市"
102,340000,"安徽省",340400,"淮南市","地级市"
103,340000,"安徽省",340500,"马鞍山市","地级市"
104,340000,"安徽省",340600,"淮北市","地级市"
105,340000,"安徽省",340700,"铜陵市","地级市"
106,340000,"安徽省",340800,"安庆市","地级市"
107,340000,"安徽省",341000,"黄山市","地级市"
108,340000,"安徽省",341100,"滁州市","地级市"
109,340000,"安徽省",341200,"阜阳市","地级市"
110,340000,"安徽省",341300,"宿州市","地级市"
111,340000,"安徽省",341500,"六安市","地级市"
112,340000,"安徽省",341600,"亳州市","地级市"
113,340000,"安徽省",341700,"池州市","地级市"
114,340000,"安徽省",341800,"宣城市","地级市"
115,350000,"福建省",350100,"福州市","地级市"
116,350000,"福建省",350200,"厦门市","副省级市"
117,350000,"福建省",350300,"莆田市","地级市"
118,350000,"福建省",350400,"三明市","地级市"
119,350000,"福建省",350500,"泉州市","地级市"
120,350000,"福建省",350600,"漳州市","地级市"
121,350000,"福建省",350700,"南平市","地级市"
122,350000,"福建省",350800,"龙岩市","地级市"
123,350000,"福建省",350900,"宁德市","地级市"
124,360000,"江西省",360100,"南昌市","地级市"
125,360000,"江西省",360200,"景德镇市","地级市"
126,360000,"江西省",360300,"萍乡市","地级市"
127,360000,"江西省",360400,"九江市","地级市"
128,360000,"江西省",360500,"新余市","地级市"
129,360000,"江西省",360600,"鹰潭市","地级市"
130,360000,"江西省",360700,"赣州市","地级市"
131,360000,"江西省",360800,"吉安市","地级市"
132,360000,"江西省",360900,"宜春市","地级市"
133,360000,"江西省",361000,"抚州市","地级市"
134,360000,"江西省",361100,"上饶市","地级市"
135,370000,"山东省",370100,"济南市","副省级市"
136,370000,"山东省",370200,"青岛市","副省级市"
137,370000,"山东省",370300,"淄博市","地级市"
138,370000,"山东省",370400,"枣庄市","地级市"
139,370000,"山东省",370500,"东营市","地级市"
140,370000,"山东省",370600,"烟台市","地级市"
141,370000,"山东省",370700,"潍坊市","地级市"
142,370000,"山东省",370800,"济宁市","地级市"
143,370000,"山东省",370900,"泰安市","地级市"
144,370000,"山东省",371000,"威海市","地级市"
145,370000,"山东省",371100,"日照市","地级市"
146,370000,"山东省",371300,"临沂市","地级市"
147,370000,"山东省",371400,"德州市","地级市"
148,370000,"山东省",371500,"聊城市","地级市"
149,370000,"山东省",371600,"滨州市","地级市"
150,370000,"山东省",371700,"菏泽市","地级市"
151,410000,"河南省",410100,"郑州市","地级市"
152,410000,"河南省",410200,"开封市","地级市"
153,410000,"河南省",410300,"洛阳市","地级市"
154,410000,"河南省",410400,"平顶山市","地级市"
155,410000,"河南省",410500,"安阳市","地级市"
156,410000,"河南省",410600,"鹤壁市","地级市"
157,410000,"河南省",410700,"新乡市","地级市"
158,410000,"河南省",410800,"焦作市","地级市"
159,410000,"河南省",410900,"濮阳市","地级市"
160,410000,"河南省",411000,"许昌市","地级市"
161,410000,"河南省",411100,"漯河市","地级市"
162,410000,"河南省",411200,"三门峡市","地级市"
163,410000,"河南省",411300,"南阳市","地级市"
164,410000,"河南省",411400,"商丘市","地级市"
165,410000,"河南省",411500,"信阳市","地级市"
166,410000,"河南省",411600,"周口市","地级市"
167,410000,"河南省",411700,"驻马店市","地级市"
168,410000,"河南省",419001,"济源市","省直辖县"
169,420000,"湖北省",420100,"武汉市","副省级市"
170,420000,"湖北省",420200,"黄石市","地级市"
171,420000,"湖北省",420300,"十堰市","地级市"
172,420000,"湖北省",420500,"宜昌市","地级市"
173,420000,"湖北省",420600,"襄阳市","地级市"
174,420000,"湖北省",420700,"鄂州市","地级市"
175,420000,"湖北省",420800,"荆门市","地级市"
176,420000,"湖北省",420900,"孝感市","地级市"
177,420000,"湖北省",421000,"荆州市","地级市"
178,420000,"湖北省",421100,"黄冈市","地级市"
179,420000,"湖北省",421200,"咸宁市","地级市"
180,420000,"湖北省",421300,"随州市","地级市"
181,420000,"湖北省",422800,"恩施土家族苗族自治州","自治州"
182,420000,"湖北省",429004,"仙桃市","省直辖县"
183,420000,"湖北省",429005,"潜江市","省直辖县"
184,420000,"湖北省",429006,"天门市","省直辖县"
185,420000,"湖北省",429021,"神农架林区","省直辖县"
186,430000,"湖南省",430100,"长沙市","地级市"
187,430000,"湖南省",430200,"株洲市","地级市"
188,430000,"湖南省",430300,"湘潭市","地级市"
189,430000,"湖南省",430400,"衡阳市","地级市"
190,430000,"湖南省",430500,"邵阳市","地级市"
191,430000,"湖南省",430600,"岳阳市","地级市"
192,430000,"湖南省",430700,"常德市","地级市"
193,430000,"湖南省",430800,"张家界市","地级市"
194,430000,"湖南省",430900,"益阳市","地级市"
195,430000,"湖南省",431000,"郴州市","地级市"
196,430000,"湖南省",431100,"永州市","地级市"
197,430000,"湖南省",431200,"怀化市","地级市"
198,430000,"湖南省",431300,"娄底市","地级市"
199,430000,"湖南省",433100,"湘西土家族苗族自治州","自治州"
200,440000,"广东省",440100,"广州市","副省级市"
201,440000,"广东省",440200,"韶关市","地级市"
202,440000,"广东省",440300,"深圳市","副省级市"
203,440000,"广东省",440400,"珠海市","地级市"
204,440000,"广东省",440500,"汕头市","地级市"
205,440000,"广东省",440600,"佛山市","地级市"
206,440000,"广东省",440700,"江门市","地级市"
207,440000,"广东省",440800,"湛江市","地级市"
208,440000,"广东省",440900,"茂名市","地级市"
209,440000,"广东省",441200,"肇庆市","地级市"
210,440000,"广东省",441300,"惠州市","地级市"
211,440000,"广东省",441400,"梅州市","地级市"
212,440000,"广东省",441500,"汕尾市","地级市"
213,440000,"广东省",441600,"河源市","地级市"
214,440000,"广东省",441700,"阳江市","地级市"
215,440000,"广东省",441800,"清远市","地级市"
216,440000,"广东省",441900,"东莞市","地级市"
217,440000,"广东省",442000,"中山市","地级市"
218,440000,"广东省",445100,"潮州市","地级市"
219,440000,"广东省",445200,"揭阳市","地级市"
220,440000,"广东省",445300,"云浮市","地级市"
221,450000,"广西壮族自治区",450100,"南宁市","地级市"
222,450000,"广西壮族自治区",450200,"柳州市","地级市"
223,450000,"广西壮族自治区",450300,"桂林市","地级市"
224,450000,"广西壮族自治区",450400,"梧州市","地级市"
225,450000,"广西壮族自治区",450500,"北海市","地级市"
226,450000,"广西壮族自治区",450600,"防城港市","地级市"
227,450000,"广西壮族自治区",450700,"钦州市","地级市"
228,450000,"广西壮族自治区",450800,"贵港市","地级市"
229,450000,"广西壮族自治区",450900,"玉林市","地级市"
230,450000,"广西壮族自治区",451000,"百色市","地级市"
231,450000,"广西壮族自治区",451100,"贺州市","地级市"
232,450000,"广西壮族自治区",451200,"河池市","地级市"
233,450000,"广西壮族自治区",451300,"来宾市","地级市"
234,450000,"广西壮族自治区",451400,"崇左市","地级市"
235,460000,"海南省",460100,"海口市","地级市"
236,460000,"海南省",460200,"三亚市","地级市"
237,460000,"海南省",460300,"三沙市","地级市"
238,460000,"海南省",460400,"儋州市","地级市"
239,460000,"海南省",469001,"五指山市","省直辖县"
240,460000,"海南省",469002,"琼海市","省直辖县"
241,460000,"海南省",469005,"文昌市","省直辖县"
242,460000,"海南省",469006,"万宁市","省直辖县"
243,460000,"海南省",469007,"东方市","省直辖县"
244,460000,"海南省",469021,"定安县","省直辖县"
245,460000,"海南省",469022,"屯昌县","省直辖县"
246,460000,"海南省",469023,"澄迈县","省直辖县"
247,460000,"海南省",469024,"临高县","省直辖县"
248,460000,"海南省",469025,"白沙黎族自治县","省直辖县"
249,460000,"海南省",469026,"昌江黎族自治县","省直辖县"
250,460000,"海南省",469027,"乐东黎族自治县","省直辖县"
251,460000,"海南省",469028,"陵水黎族自治县","省直辖县"
252,460000,"海南省",469029,"保亭黎族苗族自治县","省直辖县"
253,460000,"海南省",469030,"琼中黎族苗族自治县","省直辖县"
254,500000,"重庆市",500000,"重庆市","直辖市"
255,510000,"四川省",510100,"成都市","副省级市"
256,510000,"四川省",510300,"自贡市","地级市"
257,510000,"四川省",510400,"攀枝花市","地级市"
258,510000,"四川省",510500,"泸州市","地级市"
259,510000,"四川省",510600,"德阳市","地级市"
260,510000,"四川省",510700,"绵阳市","地级市"
261,510000,"四川省",510800,"广元市","地级市"
262,510000,"四川省",510900,"遂宁市","地级市"
263,510000,"四川省",511000,"内江市","地级市"
264,510000,"四川省",511100,"乐山市","地级市"
265,510000,"四川省",511300,"南充市","地级市"
266,510000,"四川省",511400,"眉山市","地级市"
267,510000,"四川省",511500,"宜宾市","地级市"
268,510000,"四川省",511600,"广安市","地级市"
269,510000,"四川省",511700,"达州市","地级市"
270,510000,"四川省",511800,"雅安市","地级市"
271,510000,"四川省",511900,"巴中市","地级市"
272,510000,"四川省",512000,"资阳市","地级市"
273,510000,"四川省",513200,"阿坝藏族羌族自治州","自治州"
274,510000,"四川省",513300,"甘孜藏族自治州","自治州"
275,510000,"四川省",513400,"凉山彝族自治州","自治州"
276,520000,"贵州省",520100,"贵阳市","地级市"
277,520000,"贵州省",520200,"六盘水市","地级市"
278,520000,"贵州省",520300,"遵义市","地级市"
279,520000,"贵州省",520400,"安顺市","地级市"
280,520000,"贵州省",520500,"毕节市","地级市"
281,520000,"贵州省",520600,"铜仁市","地级市"
282,520000,"贵州省",522300,"黔西南布依族苗族自治州","自治州"
283,520000,"贵州省",522600,"黔东南苗族侗族自治州","自治州"
284,520000,"贵州省",522700,"黔南布依族苗族自治州","自治州"
285,530000,"云南省",530100,"昆明市","地级市"
286,530000,"云南省",530300,"曲靖市","地级市"
287,530000,"云南省",530400,"玉溪市","地级市"
288,530000,"云南省",530500,"保山市","地级市"
289,530000,"云南省",530600,"昭通市","地级市"
290,530000,"云南省",530700,"丽江市","地级市"
