"1","2","3","4","5","6","7","8","9","10"
710,730,600,750,620,590,520,190,640,710
-0.036,0.139,0.039,-0.011,0.075,0.146,-0.001,0.081,0.042,0.001
0.534,1.274,-0.224,-1.048,-0.48,-0.335,-0.036,-0.329,-1.022,-0.174
-1.816,-0.965,-1.268,-0.456,-0.43,-0.241,-0.647,1.189,-0.32,-1.027
-0.015,0.043,0.029,0.025,-0.002,0.039,0.012,-0.227,0.011,0
-0.002,0.017,-0.038,-0.008,-0.041,-0.02,-0.014,0.022,-0.023,-0.011
-0.008,0.001,-0.019,0.001,0.013,0.076,-0.05,-0.026,0.028,0.068
-0.001,0.002,0.021,0.008,-0.002,-0.006,0.015,0.256,-0.003,0.015
-0.135,-0.121,-0.192,-0.245,0.007,0.714,-0.455,-0.193,-0.173,-0.076
0.005,0.092,0.073,0.006,-0.014,0.018,0.032,0.324,0.047,0.015
0.019,0.071,0.032,0.019,0.045,0.041,0.029,0.135,0.033,0.009
